Game,Proj_winner,Proj_margin,Win_prob,WP_pct
Vanderbilt at Missouri,Missouri,16,82,0.82
Arkansas State at UL-Lafayette,UL-Lafayette,9.8,71,0.71
Southern Miss at Texas State,Southern Miss,3.9,59,0.59
San Jose State at New Mexico State,San Jose State,13,77,0.77
Fresno State at New Mexico,Fresno State,11.2,74,0.74
Boise State at Air Force,Air Force,3.4,58,0.58
Mississippi State at Alabama,Alabama,14.4,80,0.8
Minnesota at Penn State,Minnesota,0.9,52,0.52
Texas A&M at South Carolina,South Carolina,0.4,51,0.51
UCF at East Carolina,UCF,7.3,66,0.66
Colorado at Oregon State,Oregon State,23.5,91,0.91
Kansas State at TCU,TCU,4,59,0.59
Pittsburgh at Louisville,Pittsburgh,1.1,52,0.52
Utah State at Wyoming,Wyoming,1.4,53,0.53
San Diego State at Nevada,San Diego State,3.2,57,0.57
Washington at California,Washington,10.4,73,0.73
UL-Lafayette at Southern Miss,UL-Lafayette,2.2,55,0.55
Virginia Tech at NC State,NC State,16.2,82,0.82
Utah at Washington State,Utah,8.5,69,0.69
East Carolina at BYU,East Carolina,2.3,55,0.55
Louisiana Tech at Florida International,Louisiana Tech,3.9,59,0.59
Arkansas at Auburn,Auburn,0.2,50,0.5
Boston College at Connecticut,Boston College,11.8,75,0.75
Georgia Tech at Florida State,Florida State,17.3,84,0.84
Miami-OH at Akron,Miami-OH,10.8,73,0.73
Notre Dame at Syracuse,Syracuse,4.1,59,0.59
Ohio State at Penn State,Ohio State,11.3,74,0.74
Oklahoma at Iowa State,Oklahoma,4.2,59,0.59
TCU at West Virginia,TCU,10,72,0.72
Toledo at Eastern Michigan,Toledo,9.8,71,0.71
USF at Houston,Houston,16.5,83,0.83
Miami-FL at Virginia,Miami-FL,3.6,58,0.58
Charlotte at Rice,Rice,13.1,78,0.78
Rutgers at Minnesota,Minnesota,15.8,82,0.82
Old Dominion at Georgia State,Georgia State,1.5,54,0.54
Cincinnati at UCF,Cincinnati,1.7,54,0.54
Florida vs. Georgia,Georgia,18.8,86,0.86
Illinois at Nebraska,Illinois,6,64,0.64
New Mexico State at Massachusetts,New Mexico State,4,59,0.59
North Texas at Western Kentucky,Western Kentucky,13.7,79,0.79
Northwestern at Iowa,Iowa,18,85,0.85
Oklahoma State at Kansas State,Kansas State,0,50,0.5
Oregon at California,Oregon,16.9,84,0.84
Robert Morris at Appalachian State,Appalachian State,43.3,99,0.99
SMU at Tulsa,SMU,3,57,0.57
Temple at Navy,Navy,5.9,63,0.63
Wake Forest at Louisville,Wake Forest,4.1,59,0.59
Missouri at South Carolina,South Carolina,6.9,66,0.66
South Alabama at Arkansas State,South Alabama,10.8,73,0.73
USC at Arizona,USC,17.2,84,0.84
Coastal Carolina at Marshall,Marshall,4.7,61,0.61
Colorado State at Boise State,Boise State,24.3,92,0.92
Kentucky at Tennessee,Tennessee,8.5,69,0.69
UAB at Florida Atlantic,UAB,10.9,73,0.73
Arizona State at Colorado,Arizona State,15,81,0.81
Baylor at Texas Tech,Baylor,3,57,0.57
Michigan State at Michigan,Michigan,22.4,90,0.9
Ole Miss at Texas A&M,Ole Miss,5.7,63,0.63
Pittsburgh at North Carolina,North Carolina,3.1,57,0.57
Middle Tennessee at UTEP,Middle Tennessee,0.4,51,0.51
Nevada at San Jose State,San Jose State,17.3,84,0.84
San Diego State at Fresno State,Fresno State,11.1,74,0.74
Stanford at UCLA,UCLA,19.5,87,0.87
Wyoming at Hawaii,Wyoming,10.4,73,0.73
Ball State at Kent State,Kent State,2.5,56,0.56
Buffalo at Ohio,Buffalo,4,59,0.59
Central Michigan at Northern Illinois,Northern Illinois,4.4,60,0.6
Western Michigan at Bowling Green,Bowling Green,3.2,57,0.57
UTEP at Rice,Rice,3.5,58,0.58
Appalachian State at Coastal Carolina,Appalachian State,1.6,54,0.54
Duke at Boston College,Duke,6.8,65,0.65
Massachusetts at Connecticut,Connecticut,13.3,78,0.78
Oregon State at Washington,Washington,4.5,60,0.6
Air Force vs. Army,Air Force,7,66,0.66
Florida at Texas A&M,Texas A&M,6.3,64,0.64
Iowa at Purdue,Purdue,0.4,51,0.51
Kentucky at Missouri,Kentucky,4.2,60,0.6
Maryland at Wisconsin,Wisconsin,2,54,0.54
Minnesota at Nebraska,Minnesota,9.9,72,0.72
North Carolina at Virginia,North Carolina,9.2,70,0.7
Ohio State at Northwestern,Ohio State,39.6,99,0.99
Texas Tech at TCU,TCU,14,79,0.79
Tulane at Tulsa,Tulane,7.2,66,0.66
Western Kentucky at Charlotte,Western Kentucky,13.4,78,0.78
Georgia Tech at Virginia Tech,Virginia Tech,5.5,63,0.63
Marshall at Old Dominion,Marshall,7.1,66,0.66
USF at Temple,USF,0.6,51,0.51
Baylor at Oklahoma,Oklahoma,4.5,60,0.6
Georgia State at Southern Miss,Southern Miss,4.7,61,0.61
Middle Tennessee at Louisiana Tech,Middle Tennessee,3.8,59,0.59
Michigan State at Illinois,Illinois,10.5,73,0.73
New Mexico at Utah State,Utah State,10.2,72,0.72
Oklahoma State at Kansas,Oklahoma State,7.1,66,0.66
Oregon at Colorado,Oregon,33.8,97,0.97
Penn State at Indiana,Penn State,18,85,0.85
Syracuse at Pittsburgh,Pittsburgh,1.1,53,0.53
Tennessee at Georgia,Georgia,9.2,70,0.7
UCF at Memphis,UCF,5.3,62,0.62
UTSA at UAB,UAB,1.6,54,0.54
Washington State at Stanford,Washington State,5.5,62,0.62
West Virginia at Iowa State,Iowa State,7.6,67,0.67
Florida International at North Texas,North Texas,19.5,87,0.87
Liberty at Arkansas,Arkansas,13.2,78,0.78
Navy at Cincinnati,Cincinnati,26.4,94,0.94
South Alabama at Georgia Southern,South Alabama,6.6,65,0.65
Texas State at UL-Monroe,Texas State,4.6,60,0.6
Troy at UL-Lafayette,Troy,0.1,50,0.5
Alabama at LSU,Alabama,11.6,75,0.75
BYU at Boise State,Boise State,5.9,63,0.63
Houston at SMU,SMU,2.1,55,0.55
Texas at Kansas State,Texas,1.3,53,0.53
UNLV at San Diego State,San Diego State,5.9,63,0.63
Arizona at Utah,Utah,25.4,93,0.93
Auburn at Mississippi State,Mississippi State,11.5,75,0.75
Clemson at Notre Dame,Clemson,5.2,62,0.62
Florida State at Miami-FL,Florida State,4,59,0.59
James Madison at Louisville,Louisville,1.7,54,0.54
Michigan at Rutgers,Michigan,28.4,95,0.95
South Carolina at Vanderbilt,South Carolina,13.9,79,0.79
Wake Forest at NC State,NC State,0.4,51,0.51
UCLA at Arizona State,UCLA,14.2,79,0.79
California at USC,USC,21,89,0.89
Colorado State at San Jose State,San Jose State,20.7,88,0.88
Hawaii at Fresno State,Fresno State,25.2,93,0.93
Eastern Michigan at Akron,Eastern Michigan,12.5,76,0.76
Ohio at Miami-OH,Miami-OH,1.2,53,0.53
Ball State at Toledo,Toledo,16.9,84,0.84
Buffalo at Central Michigan,Central Michigan,0.2,50,0.5
Kent State at Bowling Green,Bowling Green,1.4,53,0.53
Northern Illinois at Western Michigan,Northern Illinois,0.8,52,0.52
Georgia Southern at UL-Lafayette,UL-Lafayette,8.2,68,0.68
Tulsa at Memphis,Memphis,9.9,72,0.72
East Carolina at Cincinnati,Cincinnati,11,74,0.74
Colorado at USC,USC,36.2,98,0.98
Fresno State at UNLV,Fresno State,10.8,73,0.73
Indiana at Ohio State,Ohio State,40.8,99,0.99
Liberty at Connecticut,Liberty,15.8,82,0.82
LSU at Arkansas,LSU,2.5,56,0.56
Missouri at Tennessee,Tennessee,19.4,87,0.87
Notre Dame vs. Navy,Notre Dame,22.8,91,0.91
Oklahoma at West Virginia,Oklahoma,13.3,78,0.78
Pittsburgh at Virginia,Pittsburgh,6.5,65,0.65
Purdue at Illinois,Illinois,8,68,0.68
Rutgers at Michigan State,Michigan State,12.4,76,0.76
SMU at USF,SMU,16.4,83,0.83
Vanderbilt at Kentucky,Kentucky,24.4,92,0.92
Virginia Tech at Duke,Duke,9.4,71,0.71
James Madison at Old Dominion,James Madison,7.8,67,0.67
UL-Monroe at Georgia State,Georgia State,16.3,83,0.83
Lamar at New Mexico State,New Mexico State,19.9,87,0.87
Rice at Western Kentucky,Western Kentucky,17,84,0.84
Massachusetts at Arkansas State,Arkansas State,21.5,89,0.89
Temple at Houston,Houston,21,89,0.89
Alabama at Ole Miss,Alabama,7.2,66,0.66
Appalachian State at Marshall,Marshall,0.8,52,0.52
Arizona State at Washington State,Washington State,9.7,71,0.71
Army at Troy,Troy,14.1,79,0.79
Boston College at NC State,NC State,21.2,89,0.89
Charlotte at Middle Tennessee,Middle Tennessee,6.6,65,0.65
Iowa State at Oklahoma State,Oklahoma State,5.4,62,0.62
Louisiana Tech at UTSA,UTSA,21.3,89,0.89
Louisville at Clemson,Clemson,7.8,67,0.67
Maryland at Penn State,Penn State,10.6,73,0.73
Miami-FL at Georgia Tech,Miami-FL,7.1,66,0.66
Nebraska at Michigan,Michigan,29.9,96,0.96
New Mexico at Air Force,Air Force,27,94,0.94
North Texas at UAB,UAB,5.9,63,0.63
Northwestern at Minnesota,Minnesota,26.4,94,0.94
UCF at Tulane,UCF,1,52,0.52
Wisconsin at Iowa,Iowa,2.3,55,0.55
South Carolina at Florida,Florida,3,57,0.57
Texas State at South Alabama,South Alabama,18.4,86,0.86
Florida Atlantic at Florida International,Florida Atlantic,13,77,0.77
Georgia at Mississippi State,Georgia,16.4,83,0.83
Kansas at Texas Tech,Texas Tech,0.6,51,0.51
Kansas State at Baylor,Baylor,1.7,54,0.54
Washington at Oregon,Oregon,11.7,75,0.75
Wyoming at Colorado State,Wyoming,10.4,73,0.73
North Carolina at Wake Forest,Wake Forest,2,54,0.54
Southern Miss at Coastal Carolina,Coastal Carolina,11,74,0.74
TCU at Texas,Texas,4.8,61,0.61
Texas A&M at Auburn,Texas A&M,2.7,56,0.56
Florida State at Syracuse,Florida State,4.9,61,0.61
California at Oregon State,Oregon State,15.3,81,0.81
Stanford at Utah,Utah,25.2,93,0.93
Arizona at UCLA,UCLA,27.6,94,0.94
Boise State at Nevada,Boise State,20.4,88,0.88
San Jose State at San Diego State,San Jose State,1.6,54,0.54
Utah State at Hawaii,Utah State,10,72,0.72
Bowling Green at Toledo,Toledo,22.7,90,0.9
Ohio at Ball State,Ohio,1.9,54,0.54
Eastern Michigan at Kent State,Kent State,0.8,52,0.52
Miami-OH at Northern Illinois,Northern Illinois,2.5,56,0.56
Western Michigan at Central Michigan,Central Michigan,10.5,73,0.73
SMU at Tulane,Tulane,5.9,63,0.63
USF at Tulsa,Tulsa,12.8,77,0.77
San Diego State at New Mexico,San Diego State,14.5,80,0.8
Austin Peay at Alabama,Alabama,34.2,98,0.98
Connecticut at Army,Army,11,74,0.74
Duke at Pittsburgh,Pittsburgh,4.5,60,0.6
ETSU at Mississippi State,Mississippi State,27.4,94,0.94
Florida at Vanderbilt,Florida,14.6,80,0.8
Illinois at Michigan,Michigan,21,89,0.89
Indiana at Michigan State,Michigan State,14.7,80,0.8
Massachusetts at Texas A&M,Texas A&M,38.5,99,0.99
Navy at UCF,UCF,24,92,0.92
Northwestern at Purdue,Purdue,20.5,88,0.88
TCU at Baylor,TCU,6,64,0.64
UL-Lafayette at Florida State,Florida State,13.3,78,0.78
Virginia Tech at Liberty,Liberty,12.5,77,0.77
Wisconsin at Nebraska,Wisconsin,9.4,71,0.71
UTSA at Rice,UTSA,15.2,81,0.81
Georgia State at James Madison,James Madison,11.2,74,0.74
Houston at East Carolina,East Carolina,3.1,57,0.57
Kansas State at West Virginia,Kansas State,14.1,79,0.79
North Alabama at Memphis,Memphis,36.5,98,0.98
Washington State at Arizona,Washington State,10.4,73,0.73
Oregon State at Arizona State,Oregon State,11.8,75,0.75
Boston College at Notre Dame,Notre Dame,22.4,90,0.9
Old Dominion at Appalachian State,Appalachian State,16.2,82,0.82
Akron at Buffalo,Buffalo,18.9,86,0.86
Coastal Carolina at Virginia,Coastal Carolina,9.7,71,0.71
Florida Atlantic at Middle Tennessee,Florida Atlantic,3.5,58,0.58
Georgia at Kentucky,Georgia,20,88,0.88
Louisiana Tech at Charlotte,Charlotte,2.1,55,0.55
Miami-FL at Clemson,Clemson,18.4,86,0.86
NC State at Louisville,Louisville,3.9,59,0.59
Ohio State at Maryland,Ohio State,22.3,90,0.9
Penn State at Rutgers,Penn State,23.3,91,0.91
South Alabama at Southern Miss,South Alabama,10.9,74,0.74
Texas at Kansas,Texas,10.3,72,0.72
UL-Monroe at Troy,Troy,21.1,89,0.89
Utah Tech at BYU,BYU,37.7,99,0.99
Cincinnati at Temple,Cincinnati,22.6,90,0.9
Florida International at UTEP,UTEP,11.4,75,0.75
Iowa at Minnesota,Minnesota,4.8,61,0.61
Western Kentucky at Auburn,Western Kentucky,2,55,0.55
Arkansas State at Texas State,Texas State,3.9,59,0.59
Georgia Tech at North Carolina,North Carolina,24.6,92,0.92
Stanford at California,California,4.6,61,0.61
Marshall at Georgia Southern,Marshall,6.6,65,0.65
Boise State at Wyoming,Boise State,12.4,76,0.76
Tennessee at South Carolina,Tennessee,16.3,83,0.83
Texas Tech at Iowa State,Iowa State,4.6,60,0.6
New Mexico State at Missouri,Missouri,25,93,0.93
Oklahoma State at Oklahoma,Oklahoma,3.4,58,0.58
Ole Miss at Arkansas,Ole Miss,5.5,63,0.63
Syracuse at Wake Forest,Wake Forest,8.5,69,0.69
USC at UCLA,UCLA,0.5,51,0.51
Colorado at Washington,Washington,35.5,98,0.98
Colorado State at Air Force,Air Force,29.7,96,0.96
UAB at LSU,LSU,14,79,0.79
San Jose State at Utah State,San Jose State,5,61,0.61
Fresno State at Nevada,Fresno State,19.3,87,0.87
Utah at Oregon,Oregon,2.2,55,0.55
UNLV at Hawaii,UNLV,10.9,74,0.74
Ball State at Miami-OH,Miami-OH,5.1,62,0.62
Bowling Green at Ohio,Ohio,12.9,77,0.77
Mississippi State at Ole Miss,Ole Miss,4.6,61,0.61
Baylor at Texas,Texas,11,74,0.74
Central Michigan at Eastern Michigan,Eastern Michigan,6,64,0.64
Toledo at Western Michigan,Toledo,15.4,81,0.81
Tulane at Cincinnati,Cincinnati,4.7,61,0.61
Utah State at Boise State,Boise State,19.4,87,0.87
Arizona State at Arizona,Arizona,2.3,55,0.55
Arkansas at Missouri,Arkansas,2.4,55,0.55
NC State at North Carolina,North Carolina,6,64,0.64
New Mexico at Colorado State,Colorado State,4.3,60,0.6
Virginia at Virginia Tech,Virginia Tech,2,55,0.55
Nebraska at Iowa,Iowa,20.3,88,0.88
UCLA at California,UCLA,15.7,82,0.82
Florida at Florida State,Florida State,6.7,65,0.65
Wyoming at Fresno State,Fresno State,12.4,76,0.76
Army at Massachusetts,Army,24.6,92,0.92
Coastal Carolina at James Madison,James Madison,3.1,57,0.57
Georgia State at Marshall,Marshall,8.1,68,0.68
Georgia Tech at Georgia,Georgia,48.5,100,1
Michigan at Ohio State,Ohio State,5.4,62,0.62
New Mexico State at Liberty,Liberty,22.5,90,0.9
Old Dominion at South Alabama,South Alabama,27.8,95,0.95
Rutgers at Maryland,Maryland,19.8,87,0.87
South Carolina at Clemson,Clemson,10.6,73,0.73
West Virginia at Oklahoma State,Oklahoma State,14.8,80,0.8
Western Kentucky at Florida Atlantic,Western Kentucky,6.7,65,0.65
East Carolina at Temple,East Carolina,12.3,76,0.76
Kent State at Buffalo,Buffalo,6.8,65,0.65
Akron at Northern Illinois,Northern Illinois,12.4,76,0.76
Rice at North Texas,North Texas,16.9,84,0.84
Louisville at Kentucky,Kentucky,0.9,52,0.52
Troy at Arkansas State,Troy,15.8,82,0.82
Auburn at Alabama,Alabama,26.5,94,0.94
Hawaii at San Jose State,San Jose State,21.8,90,0.9
Illinois at Northwestern,Illinois,24.9,93,0.93
Memphis at SMU,Memphis,1.7,54,0.54
Minnesota at Wisconsin,Minnesota,4.5,60,0.6
Oregon at Oregon State,Oregon,4.4,60,0.6
Purdue at Indiana,Purdue,8.6,69,0.69
UAB at Louisiana Tech,UAB,14.9,81,0.81
UTEP at UTSA,UTSA,21.6,89,0.89
Wake Forest at Duke,Wake Forest,2.5,56,0.56
Iowa State at TCU,TCU,18.2,85,0.85
Michigan State at Penn State,Penn State,23.8,92,0.92
Utah at Colorado,Utah,36.5,98,0.98
Southern Miss at UL-Monroe,Southern Miss,8.9,70,0.7
UL-Lafayette at Texas State,UL-Lafayette,6.7,65,0.65
Appalachian State at Georgia Southern,Appalachian State,7.4,67,0.67
Middle Tennessee at Florida International,Middle Tennessee,17.1,84,0.84
Nevada at UNLV,UNLV,13.9,79,0.79
LSU at Texas A&M,LSU,9.3,70,0.7
UCF at USF,UCF,26.9,94,0.94
Notre Dame at USC,USC,10.1,72,0.72
Oklahoma at Texas Tech,Oklahoma,6.4,64,0.64
Syracuse at Boston College,Syracuse,14.1,79,0.79
Tennessee at Vanderbilt,Tennessee,25.1,93,0.93
Tulsa at Houston,Houston,16.9,84,0.84
Kansas at Kansas State,Kansas State,18.4,86,0.86
Pittsburgh at Miami-FL,Pittsburgh,4.6,61,0.61
Air Force at San Diego State,Air Force,6,64,0.64
Washington at Washington State,Washington,1.7,54,0.54
BYU at Stanford,BYU,0.5,51,0.51
Army vs. Navy,Army,5.7,63,0.63
Miami-OH vs. UAB,UAB,12.1,76,0.76
UTSA vs. Troy,Troy,1.3,53,0.53
Cincinnati vs. Louisville,Cincinnati,3.8,59,0.59
Florida vs. Oregon State,Oregon State,3.9,59,0.59
Washington State vs. Fresno State,Washington State,6.6,65,0.65
Rice vs. Southern Miss,Southern Miss,11.7,75,0.75
SMU vs. BYU,SMU,6.2,64,0.64
North Texas vs. Boise State,Boise State,6.9,65,0.65
Marshall vs. Connecticut,Marshall,17.1,84,0.84
Eastern Michigan vs. San Jose State,San Jose State,2.8,57,0.57
Liberty vs. Toledo,Liberty,2,55,0.55
Western Kentucky vs. South Alabama,South Alabama,9.3,70,0.7
Baylor vs. Air Force,Baylor,7.6,67,0.67
UL-Lafayette vs. Houston,Houston,2.4,55,0.55
Wake Forest vs. Missouri,Wake Forest,0,50,0.5
Middle Tennessee vs. San Diego State,San Diego State,2.4,56,0.56
New Mexico State vs. Bowling Green,New Mexico State,4.5,60,0.6
Georgia Southern vs. Buffalo,Georgia Southern,3.9,59,0.59
Memphis vs. Utah State,Memphis,19.9,87,0.87
Coastal Carolina vs. East Carolina,East Carolina,2.6,56,0.56
Wisconsin vs. Oklahoma State,Oklahoma State,3.1,57,0.57
UCF vs. Duke,UCF,3.9,59,0.59
Kansas vs. Arkansas,Arkansas,9.2,70,0.7
Oregon vs. North Carolina,Oregon,14,79,0.79
Texas Tech vs. Ole Miss,Ole Miss,7.9,68,0.68
Syracuse vs. Minnesota,Minnesota,13.6,78,0.78
Oklahoma vs. Florida State,Oklahoma,2.3,55,0.55
Texas vs. Washington,Texas,7.2,66,0.66
Maryland vs. NC State,Maryland,4.6,60,0.6
Pittsburgh vs. UCLA,UCLA,6.5,65,0.65
Notre Dame vs. South Carolina,South Carolina,3.1,57,0.57
Ohio vs. Wyoming,Ohio,4.3,60,0.6
Tennessee vs. Clemson,Tennessee,6.2,64,0.64
Alabama vs. Kansas State,Alabama,7.6,67,0.67
Iowa vs. Kentucky,Kentucky,0.4,51,0.51
TCU vs. Michigan,Michigan,9,70,0.7
Ohio State vs. Georgia,Georgia,5.3,62,0.62
Mississippi State vs. Illinois,Illinois,0.5,51,0.51
LSU vs. Purdue,LSU,8.2,68,0.68
Tulane vs. USC,USC,4,59,0.59
Penn State vs. Utah,Penn State,1.1,53,0.53
Elon at Wake Forest,Wake,21.9,90,0.9
Kent State at UCF,UCF,35,98,0.98
Rhode Island at Georgia State,GSU,7.3,66,0.66
Saint Francis-PA at Western Michigan,WMU,2.6,56,0.56
NC State at Connecticut,NC St.,26.6,94,0.94
Florida at Utah,Utah,7.4,67,0.67
NC A&T at UAB,UAB,12.6,77,0.77
Nebraska at Minnesota,Minnesota,12.4,76,0.76
South Dakota at Missouri,Missouri,34.6,98,0.98
UAPB at Tulsa,Tulsa,31.5,97,0.97
Southern Utah at Arizona State,Ariz. St.,22.8,91,0.91
Howard at Eastern Michigan,EMU,16.8,83,0.83
Central Michigan at Michigan State,Mich. St.,22.9,91,0.91
Miami-OH at Miami-FL,Miami,24.9,92,0.92
Georgia Tech vs. Louisville,Louisville,15.6,82,0.82
Missouri State at Kansas,Kansas,19.5,87,0.87
Stanford at Hawaii,Stanford,5.2,62,0.62
Arkansas State at Oklahoma,Oklahoma,35.8,98,0.98
Ball State at Kentucky,Kentucky,30,96,0.96
Bowling Green at Liberty,Liberty,17.1,84,0.84
Colorado at TCU,TCU,26.1,93,0.93
East Carolina at Michigan,Michigan,40.9,99,0.99
Fresno State at Purdue,Purdue,4.4,60,0.6
Long Island at Ohio,Ohio,29.3,96,0.96
Louisiana Tech at SMU,SMU,23.5,91,0.91
Northern Illinois at Boston College,BC,13,77,0.77
Utah State at Iowa,Iowa,32.5,97,0.97
Virginia vs. Tennessee,Tennessee,28.5,95,0.95
Robert Morris at Air Force,Air Force,44.8,100,1
Akron at Temple,Temple,10.9,74,0.74
ETSU at Jacksonville State,JSU,4.1,59,0.59
Mercer at Ole Miss,Ole Miss,29.8,96,0.96
Northern Iowa at Iowa State,ISU,17.3,84,0.84
Portland State at Oregon,Oregon,47.1,100,1
Boise State at Washington,Washington,13.8,79,0.79
Buffalo at Wisconsin,Wisconsin,29.7,96,0.96
Eastern Kentucky at Cincinnati,Cincinnati,23.4,91,0.91
Gardner-Webb at Appalachian State,App. St.,16.3,83,0.83
Massachusetts at Auburn,Auburn,39.2,99,0.99
Ohio State at Indiana,Ohio St.,33.4,97,0.97
Rice at Texas,Texas,41.9,99,0.99
Tennessee State at Notre Dame,Notre Dame,51.3,100,1
Towson at Maryland,Maryland,35.6,98,0.98
USF at Western Kentucky,WKU,10.1,72,0.72
Wofford at Pittsburgh,Pitt,39.3,99,0.99
Bryant at UNLV,UNLV,14.6,80,0.8
California at North Texas,Cal,8.1,68,0.68
Colgate at Syracuse,Syracuse,38.1,99,0.99
Southeastern Louisiana at Mississippi State,Miss. St.,27.5,94,0.94
Western Carolina at Arkansas,Arkansas,36.2,98,0.98
Albany-NY at Marshall,Marshall,14.8,80,0.8
Bucknell at James Madison,JMU,41.7,99,0.99
Monmouth at Florida Atlantic,FAU,14.7,80,0.8
SC State at Charlotte,Charlotte,19.2,87,0.87
The Citadel at Georgia Southern,GS,16.6,83,0.83
UT Martin at Georgia,UGA,48.5,100,1
Maine at Florida International,FIU,9,70,0.7
Nevada at USC,USC,37.7,99,0.99
Alabama A&M at Vanderbilt,Vandy,29.1,95,0.95
Alcorn State at Southern Miss,So. Miss,19.1,86,0.86
Army at UL-Monroe,Army,5,61,0.61
Bethune-Cookman at Memphis,Memphis,45.4,100,1
Central Arkansas at Oklahoma State,Okla. St.,29.4,96,0.96
New Mexico at Texas A&M,Texas A&M,41.6,99,0.99
SE Missouri State at Kansas State,K-State,28.3,95,0.95
Stephen F. Austin at Troy,Troy,25.7,93,0.93
Texas State at Baylor,Baylor,31.6,97,0.97
UTSA at Houston,Houston,2,55,0.55
Washington State at Colorado State,Wazzu,18.8,86,0.86
Middle Tennessee at Alabama,Alabama,44.4,99,0.99
North Carolina vs. South Carolina,UNC,1.2,53,0.53
Texas Tech at Wyoming,Texas Tech,18.4,86,0.86
Toledo at Illinois,Illinois,13.8,79,0.79
West Virginia at Penn State,Penn St.,22.9,91,0.91
Old Dominion at Virginia Tech,VT,17.8,85,0.85
South Alabama at Tulane,Tulane,8.4,69,0.69
Northwestern State at UL-Lafayette,Louisiana,30.2,96,0.96
Incarnate Word at UTEP,Incarnate Word,9.8,71,0.71
Western Illinois at New Mexico State,NMSU,15,81,0.81
Northern Arizona at Arizona,Arizona,26.2,93,0.93
Sam Houston at BYU,BYU,24.5,92,0.92
Coastal Carolina at UCLA,UCLA,16.1,82,0.82
Idaho State at San Diego State,SDSU,32.3,97,0.97
Northwestern at Rutgers,Rutgers,3.6,58,0.58
Oregon State at San Jose State,Oregon St.,21.6,89,0.89
Florida State vs. LSU,LSU,4.4,60,0.6
Clemson at Duke,Clemson,15,81,0.81
Florida State vs. Georgia Tech,Florida State,19.4,89,0.89
Montana State at New Mexico,Montana State,13.6,80,0.8
SMU at Nevada,SMU,26.8,95,0.95
Delaware State at Hawaii,Hawaii,38.6,99,0.99
Howard at Rutgers,Rutgers,39.4,99,0.99
Central Connecticut at Central Michigan,Central Michigan,30.1,97,0.97
Fordham at Bowling Green,Bowling Green,13.6,80,0.8
Jackson State at UL-Monroe,UL-Monroe,4.2,60,0.6
Lafayette at Buffalo,Buffalo,7.8,69,0.69
NC A&T at Wake Forest,Wake Forest,32.6,98,0.98
New Hampshire at UCF,UCF,24.2,94,0.94
Western Carolina at NC State,NC State,36.6,99,0.99
Duquesne at Toledo,Toledo,27.7,96,0.96
UAPB at Arkansas,Arkansas,58,100,1
Alcorn State at UAB,UAB,24.5,94,0.94
Coastal Carolina at Jacksonville State,Coastal Carolina,0.9,52,0.52
Lindenwood at Kansas,Kansas,52.7,100,1
Murray State at Missouri,Missouri,57.4,100,1
North Carolina at Minnesota,North Carolina,1.2,53,0.53
North Dakota State at Colorado,Colorado,2.5,56,0.56
Northwestern State at Tulsa,Tulsa,31.8,98,0.98
Southeastern Louisiana at Tulane,Tulane,24.4,94,0.94
Eastern Illinois at Illinois,Illinois,32.3,98,0.98
Southern Utah at Utah,Utah,37.3,99,0.99
Sacramento State at San Jose State,San Jose State,3.7,59,0.59
Lehigh at Army,Army,30.7,97,0.97
Florida Atlantic at Michigan State,Michigan State,12.3,78,0.78
Temple at Oklahoma,Oklahoma,44.2,100,1
Elon at Duke,Duke,23.2,93,0.93
Western Michigan at Wisconsin,Wisconsin,28.2,96,0.96
TCU at Stanford,TCU,9.7,73,0.73
Austin Peay at Louisville,Louisville,25.8,95,0.95
Bucknell at Navy,Navy,28.3,96,0.96
Clemson vs. Georgia,Georgia,15.4,83,0.83
Connecticut at Maryland,Maryland,25.7,95,0.95
Georgia vs. Clemson,Georgia,15.4,83,0.83
Illinois State at Iowa,Iowa,27.3,96,0.96
Indiana State at Purdue,Purdue,30.7,97,0.97
Kent State at Pittsburgh,Pittsburgh,22.6,92,0.92
Penn State at West Virginia,Penn State,13.9,81,0.81
Virginia Tech at Vanderbilt,Virginia Tech,14.2,81,0.81
Chattanooga at Tennessee,Tennessee,36.9,99,0.99
South Dakota State at Oklahoma State,Oklahoma State,13.2,80,0.8
Towson at Cincinnati,Cincinnati,27,95,0.95
Portland State at Washington State,Washington State,26.3,95,0.95
Akron at Ohio State,Ohio State,55.5,100,1
Colorado State at Texas,Texas,40.8,99,0.99
Eastern Michigan at Massachusetts,Eastern Michigan,1.6,54,0.54
ETSU at Appalachian State,Appalachian State,32.9,98,0.98
Florida International at Indiana,Indiana,17.1,86,0.86
Kennesaw State at UTSA,UTSA,24.6,94,0.94
Merrimack at Air Force,Air Force,32.5,98,0.98
Miami-FL at Florida,Florida,0.3,51,0.51
Miami-OH at Northwestern,Northwestern,3.7,59,0.59
North Dakota at Iowa State,Iowa State,25.5,94,0.94
Ohio at Syracuse,Syracuse,13.5,80,0.8
UTEP at Nebraska,Nebraska,27.7,96,0.96
Western Illinois at Northern Illinois,Northern Illinois,31.5,98,0.98
Boise State at Georgia Southern,Boise State,15.7,84,0.84
Old Dominion at South Carolina,South Carolina,25.1,94,0.94
North Texas at South Alabama,South Alabama,7.4,68,0.68
Stony Brook at Marshall,Marshall,29.2,97,0.97
UC Davis at California,California,18.1,87,0.87
Campbell at Liberty,Liberty,34.6,98,0.98
Eastern Kentucky at Mississippi State,Mississippi State,20.5,90,0.9
Norfolk State at East Carolina,East Carolina,33.9,98,0.98
Richmond at Virginia,Virginia,14.8,82,0.82
